name	layer	timescale	palette	scale	variantType	competitiveness	evolutionSpeed	growthSpeed	reproductAt	mobility	densityCapacity	produceSoil	produceLeaves	produceHoney	produceFruits	produceMeats	consumeSoil	consumeLeaves	consumeHoney	consumeFruits	consumeMeats	photosynthesis	respiration	elevationPref0	elevationPref1	elevationPref2	elevationPref3	elevationVal0	elevationVal1	elevationVal2	elevationVal3	o2Pref0	o2Pref1	o2Pref2	o2Pref3	o2Val0	o2Val1	o2Val2	o2Val3	temperaturePref0	temperaturePref1	temperaturePref2	temperaturePref3	temperatureVal0	temperatureVal1	temperatureVal2	temperatureVal3	humidityPref0	humidityPref1	humidityPref2	humidityPref3	humidityVal0	humidityVal1	humidityVal2	humidityVal3	transform0	transform1	transform2	transform3	uniteWith	uniteTo
無生物	Microbe	Hadean	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
共通祖先	Microbe	Eoarchean	0	1	0	0.1	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0	-20000	-10000	-4000	-3000	0	1	1	0	-1	0	0.1	0.2	0	1	1	0.5	0	30	80	150	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	真正細菌	古細菌				
真正細菌	Microbe	Eoarchean	1	1	0	0.2	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0	-9000	-8000	-2000	-1000	0	1	1	0	-1	0	0.1	0.2	0	1	1	0.5	0	30	60	120	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	αプロテオバクテリア	シアノバクテリア				
シアノバクテリア	Microbe	Paleoarchean	8	1	0	0.3	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0.1	0	-5000	-4000	-500	0	0	1	1	0	-1	0	0.1	0.3	0	1	1	0.5	0	20	50	100	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0					真核生物	シゾン
αプロテオバクテリア	Microbe	Paleoarchean	2	1	0	0.3	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0.01	-9000	-8000	-4000	-3000	0	1	1	0	0.0001	0.001	0.1	0.3	0	1	1	0.5	0	20	50	100	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0					古細菌	真核生物
古細菌	Microbe	Eoarchean	3	1	0	0.2	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0	-20000	-10000	-4000	-2000	0	1	1	0	-1	0	0.2	0.3	0	1	1	0.5	0	20	40	100	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0					αプロテオバクテリア	真核生物
真核生物	Microbe	Mesoproterozoic	4	1	0	1	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0.01	-9000	-8000	-2000	-1000	0	1	1	0	0.02	0.05	0.2	0.3	0	1	1	0.5	0	15	40	110	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	アメーバ				シアノバクテリア	シゾン
アメーバ	Microbe	Mesoproterozoic	5	0.8	0	2	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0.02	-6000	-4000	-2000	-1000	0	1	1	0	0.05	0.1	0.2	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	襟鞭毛虫					
襟鞭毛虫	Microbe	Neoproterozoic	6	1	0	3	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0.05	-7000	-6000	-3000	-2000	0	1	1	0	0.05	0.1	0.2	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	プロテロスポンギア					
プロテロスポンギア	Microbe	Neoproterozoic	7	1	0	4	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0	0.05	-20000	-10000	-4000	-3000	0	1	1	0	0.05	0.1	0.2	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	カイメン					
シゾン	Microbe	Mesoproterozoic	9	1	0	1	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0.2	0	-5000	-4000	-500	0	0	1	1	0	-1	0	0.1	0.3	0	1	1	0.5	0	15	40	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	クラミドモナス					
クラミドモナス	Microbe	Mesoproterozoic	10	1	0	2	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	0.5	0	-3000	-2000	-1500	-1000	0	1	1	0	-1	0	0.3	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	シアワセモ					
シアワセモ	Microbe	Neoproterozoic	11	1	0	3	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	1	0	-2500	-1500	-1000	-500	0	1	1	0	-1	0	0.3	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	ボルボックス					
ボルボックス	Microbe	Neoproterozoic	12	1	0	4	0	0.2	1.2	1	100	1	0	0	0	0	0	0	0	0	0	1	0	-2000	-1000	0	100	0	1	1	0	-1	0	0.3	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	コケ					
コケ	Plant	Ediacaran	64	1	0	10	0	0.05	1.2	1	100	0	1	0	0	0	0.5	0	0	0	0	2	0	0	100	2000	3000	0	1	1	0	-1	0	0.4	0.5	0	1	1	0	0	10	30	40	0	1	1	0	0.9	0.95	1	1.1	0	1	1	0	シダ					
シダ	Plant	Devonian	68	1	0	11	0	0.05	1.2	2	100	0	1	0	0	0	1	0	0	0	0	2	0	0	1000	2000	4000	0	1	1	0	-1	0	0.4	0.5	0	1	1	0	-10	0	30	40	0	1	1	0	0.5	0.6	1	1.1	0	1	1	0	針葉樹					
針葉樹	Plant	Carboniferous	72	1	0	12	0	0.05	1.2	3	100	0	1	0	0	0	1	0	0	0	0	3	0	1000	2000	10000	11000	0	1	1	0	-1	0	0.4	0.5	0	1	1	0	-20	0	20	40	0	1	1	0	0.2	0.4	1	1.1	0	1	1	0	広葉樹					
広葉樹	Plant	Cenozonic	80	1	0	20	0	0.05	1.2	4	100	0	1	1	1	0	1	0	0	0	0	3	0	2000	3000	6000	8000	0	1	1	0	-1	0	0.4	0.5	0	1	1	0	0	10	30	40	0	1	1	0	0.3	0.5	1	1.1	0	1	1	0	草原	ジャングル				
ジャングル	Plant	Cenozonic	84	1	0	22	0	0.05	1.2	3	100	0	1	0	1	0	1	0	0	0	0	2	0	0	500	3000	4000	0	1	1	0	-1	0	0.4	0.5	0	1	1	0	10	20	40	50	0	1	1	0	0.6	0.9	1	1.1	0	1	1	0						
草原	Plant	Cenozonic	88	1	0	13	0	0.05	1.2	2	100	0	1	1	0	0	1	0	0	0	0	2	0	0	500	6000	7000	0	1	1	0	-1	0	0.4	0.5	0	1	1	0	-10	0	20	40	0	1	1	0	0.05	0.1	0.6	0.7	0	1	1	0	砂漠					
砂漠	Plant	Cenozonic	92	1	0	14	0	0.05	1.2	2	100	0	0.5	0	0	0	0.1	0	0	0	0	0.1	0	0	500	6000	7000	0	1	1	0	-1	0	0.4	0.5	0	1	1	0	-10	0	50	80	0	1	1	0	-1	0	0.2	0.3	0	1	1	0						
カイメン	Animal	Ediacaran	32	1	1	10	0.0001	0.2	1.2	1	4	1	0	0	0	1	1	0	0	0	0	0	0.1	-20000	-10000	-6000	-2000	0	1	1	0	0.05	0.1	0.3	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	ディッキンソニア					
ディッキンソニア	Animal	Ediacaran	96	1	1	11	0.0001	0.2	1.2	1	4	1	0	0	0	1	1	0	0	0	0	0	0.1	-7000	-6000	-3850	-2050	0	1	1	0	0.05	0.1	0.3	0.4	0	1	1	0	0	10	30	50	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	クラゲ	キンベレラ	イカリア			
クラゲ	Animal	Ediacaran	35	1	1	100	0.000184	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.2	-20000	-10000	-2850	-1950	0	1	1	0	0.1	0.15	0.3	0.4	0	1	1	0	21.5	26.5	30	40	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	イソギンチャク					
イソギンチャク	Animal	Cambrian	34	1	1	110	0.000242	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.2	-4750	-2850	-1550	-750	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	21.5	26.5	30	40	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	サンゴ					
サンゴ	Animal	Cambrian	33	1	1	120	0.000249	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.2	-4050	-1550	-500	0	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	21.5	26.5	30	40	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0						
キンベレラ	Animal	Ediacaran	97	1	1	12	0.0001	0.2	1.2	1	4	1	0	0	0	1	1	0	0	0	0	0	0.2	-4600	-3850	-1550	-750	0	1	1	0	0.1	0.1	0.3	0.4	0	1	1	0	18.5	23.5	30	40	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	プラナリア	レアンコイリア				
プラナリア	Animal	Cambrian	36	1	1	13	0.00012	0.2	1.2	1	4	1	0	0	0	1	1	0	0	0	0	0	0.5	-2900	-2200	0	100	0	1	1	0	0.1	0.15	0.3	0.4	0	1	1	0	18.5	23.5	30	40	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	ツノガイ	ゴカイ				
ゴカイ	Animal	Cambrian	39	1	1	110	0.000354	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	1	-100	0	1150	2750	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	20	24.5	30	40	0	1	1	0	0.4	0.6	1	1.1	0	1	1	0	ヒル					
ヒル	Animal	Cambrian	37	1	1	120	0.000371	0.2	1.2	1	2	1	0	0	0	1	0.5	0	0	0	0.5	0	1	450	1150	2300	4800	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	20	24.5	30	40	0	1	1	0	0.4	0.6	1	1.1	0	1	1	0	ミミズ					
ミミズ	Animal	Devonian	38	1	1	130	0.000395	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	1	400	2300	7000	8000	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	20	24.5	30	40	0	1	1	0	0.4	0.6	1	1.1	0	1	1	0						
ツノガイ	Animal	Cambrian	40	1	1	100	0.000265	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.5	-2900	-2200	-500	0	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	18.5	23.5	26.5	35.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	巻貝					
巻貝	Animal	Cambrian	41	1	1	110	0.000304	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.5	-5850	-3850	-2200	-350	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	18.5	23.5	26.5	35.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	イカ					
イカ	Animal	Ordovician	42	1	2	120	0.000315	0.2	1.2	2	2	1	0	0	0	1	0.5	0	0	0	0.5	0	1	-7700	-4900	-3850	-1900	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	18.5	23.5	26.5	35.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	タコ					
タコ	Animal	Carboniferous	43	1	1	130	0.000336	0.2	1.2	3	2	1	0	0	0	1	0.5	0	0	0	0.5	0	2	-20000	-10000	-4900	-3000	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	18.5	23.5	26.5	35.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0						
レアンコイリア	Animal	Cambrian	98	1	1	20	0.0001	0.2	1.2	1	3	1	0	0	0	1	1	0	0	0	0	0	0.2	-4600	-3850	0	100	0	1	1	0	0.1	0.15	0.3	0.4	0	1	1	0	9	17	23.5	31.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	カイアシ	トンボ				
カイアシ	Animal	Cambrian	78	1	1	100	0.000262	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.5	-2650	-2050	-500	0	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	9	17	23.5	31.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	エビ					
エビ	Animal	Cambrian	65	1	1	110	0.00028	0.2	1.2	1	2	1	0	0	0	1	0.5	0	0	0	0.5	0	1	-4600	-3850	-2050	-400	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	9	17	23.5	31.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	カニ					
カニ	Animal	Mesozonic	66	1	1	120	0.000303	0.2	1.2	1	2	1	0	0	0	1	0.5	0	0	0	0.5	0	1	-20000	-10000	-3850	-2050	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	9	17	23.5	31.5	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0						
トンボ	Animal	Mesozonic	101	1	1	100	0.000346	0.2	1.2	4	2	1	0	0	0	1	0.5	0.5	0	0	0	0	1	-100	0	950	1550	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	13	19.5	24.5	31.5	0	1	1	0	0.2	0.4	1	1.1	0	1	1	0	ハチ					
ハチ	Animal	Mesozonic	69	1	1	110	0.00035	0.2	1.2	4	2	1	0	0	0	1	0	0.3333333	0.3333333	0	0.3333333	0	1	-500	950	2450	3050	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	13	19.5	24.5	31.5	0	1	1	0	0.2	0.4	1	1.1	0	1	1	0	チョウ					
チョウ	Animal	Mesozonic	102	1	1	120	0.000397	0.2	1.2	4	2	1	0	0	0	1	0	0.5	0.5	0	0	0	1	450	2450	7000	8000	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	13	19.5	24.5	31.5	0	1	1	0	0.2	0.4	1	1.1	0	1	1	0						
イカリア	Animal	Ediacaran	99	1	1	12	0.0001	0.2	1.2	1	4	1	0	0	0	1	1	0	0	0	0	0	0.2	-6450	-3950	-1800	-150	0	1	1	0	0.1	0.15	0.3	0.4	0	1	1	0	0	10	17	27	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	ウミユリ	ピカイア				
ウミユリ	Animal	Cambrian	44	1	1	100	0.000246	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.2	-2500	-1800	-1050	150	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	-10	0	17	27	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	ナマコ					
ナマコ	Animal	Ordovician	45	1	1	110	0.000268	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.2	-3550	-2800	-1800	-150	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	-10	0	17	27	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	ヒトデ					
ヒトデ	Animal	Silurian	46	1	1	120	0.000288	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.5	-6450	-3950	-2800	-1500	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	-10	0	17	27	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	ウニ					
ウニ	Animal	Silurian	47	1	1	130	0.000297	0.2	1.2	1	2	1	0	0	0	1	1	0	0	0	0	0	0.5	-20000	-10000	-3950	-1950	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	-10	0	17	27	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0						
ピカイア	Animal	Cambrian	100	1	1	13	0.00012	0.2	1.2	2	3	1	0	0	0	1	1	0	0	0	0	0	0.2	-2500	-1800	-100	0	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	0	10	17	27	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	魚類					
魚類	Animal	Devonian	70	1	1	100	0.000296	0.2	1.2	2	2	1	0	0	0	1	0.5	0	0	0	0.5	0	1	-2300	-1050	0	100	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	-10	0	17	27	0	1	1	0	0.7	0.8	1	1.1	0	1	1	0	両生類					
両生類	Animal	Carboniferous	71	1	1	110	0.000431	0.2	1.2	1	2	1	0	0	0	1	0	0.5	0	0	0.5	0	1	-100	0	900	1600	0	1	1	0	0.1	0.2	0.3	0.4	0	1	1	0	-10	0	19.5	28	0	1	1	0	0.4	0.6	1	1.1	0	1	1	0	爬虫類					
